# parameter:
# t = 0
# R = 6.38
# b = 6
# Y0 = 5.36
# Z = 79
       0	 51711.1	 142.608	0.275778
    0.03	 46975.7	 134.725	0.286798
    0.06	 31857.6	 90.1228	0.282892
    0.09	 15161.8	 40.7527	0.268786
    0.12	 7643.13	 18.8553	0.246696
    0.15	 4375.52	 10.1456	0.231872
    0.18	 2771.32	   6.137	0.221447
    0.21	 1892.36	 5.55498	0.293547
    0.24	 1367.22	 4.25732	0.311385
    0.27	 1031.27	 3.08529	0.299175
     0.3	 804.779	  2.3205	 0.28834
    0.33	 645.462	  1.7989	  0.2787
    0.36	 529.233	 1.43069	0.270332
    0.39	 441.966	  1.1629	0.263119
    0.42	  374.81	0.960655	0.256304
    0.45	 322.045	0.805991	0.250273
    0.48	 279.903	0.686308	0.245195
    0.51	 245.589	0.590569	 0.24047
    0.54	 217.322	0.513301	0.236194
    0.57	 193.749	0.450135	0.232328
     0.6	  173.88	0.398121	0.228963
    0.63	 156.957	0.354582	 0.22591
    0.66	 142.443	0.317586	0.222956
    0.69	 129.868	0.286388	0.220523
    0.72	 118.914	0.259585	0.218296
    0.75	 109.303	0.236748	0.216599
    0.78	 100.832	0.216611	0.214824
    0.81	 93.3221	0.198885	0.213117
    0.84	 86.6293	0.183314	0.211607
    0.87	 80.6569	0.169762	0.210474
     0.9	 75.2801	0.157547	0.209281
    0.93	  70.403	0.146566	0.208182
    0.96	  66.009	0.136819	0.207272
    0.99	 62.0015	0.128188	0.206751
    1.02	 58.3545	 0.12014	0.205879
    1.05	 55.0256	 0.11298	0.205322
    1.08	  51.975	0.106629	0.205154
    1.11	 49.1664	0.100678	 0.20477
    1.14	 46.5852	0.0950815	0.204102
    1.17	 44.1914	0.0900018	0.203664
     1.2	  41.986	0.085506	0.203654
    1.23	 39.9394	0.081203	0.203315
    1.26	 38.0288	0.0771617	0.202903
    1.29	 36.2569	0.0736647	0.203174
    1.32	 34.6034	0.0701898	0.202841
    1.35	  33.059	0.0671323	0.203068
    1.38	 31.6185	0.0642447	0.203187
    1.41	 30.2626	0.0625254	 0.20661
    1.44	  28.998	0.0614584	 0.21194
    1.47	 27.8107	0.060458	0.217391
     1.5	 26.6913	0.0595098	0.222956
    1.53	   25.64	0.0587085	0.228972
    1.56	 24.6435	0.0579428	0.235124
    1.59	 23.7032	0.0571795	0.241231
    1.62	 22.8117	0.0565344	0.247831
    1.65	 21.9707	0.055914	0.254493
    1.68	 21.1722	0.0552451	0.260932
    1.71	 20.4169	0.0547098	0.267964
    1.74	 19.6979	0.0542583	0.275452
    1.77	 19.0205	0.0537193	0.282428
     1.8	 18.3756	0.053311	0.290118
    1.83	 17.7642	0.0528977	0.297778
    1.86	 17.1782	0.0524434	 0.30529
    1.89	 16.6241	0.0521156	0.313494
    1.92	 16.0855	0.0517956	0.322003
    1.95	 15.5838	0.0515229	0.330619
    1.98	 15.0993	0.0512337	0.339312
    2.01	 14.6359	0.050995	0.348424
    2.04	 14.1973	0.0507381	0.357379
    2.07	 13.7779	0.0504471	0.366146
     2.1	 13.3754	0.0500925	0.374513
    2.13	 12.9842	0.0499191	 0.38446
    2.16	 12.6144	0.0496204	0.393363
    2.19	 12.2527	0.0494668	0.403723
    2.22	  11.912	0.0494162	0.414845
    2.25	 11.5835	0.0491346	0.424177
    2.28	 11.2661	0.0489606	0.434584
    2.31	 10.9637	0.0487716	0.444848
    2.34	 10.6686	0.0485129	0.454723
    2.37	 10.3851	0.0484706	0.466732
     2.4	  10.118	 0.04846	0.478949
    2.43	 9.86149	0.0482431	0.489208
    2.46	 9.60817	0.0481169	0.500792
    2.49	 9.36703	0.0478748	0.511099
    2.52	 9.12503	0.0478568	0.524457
    2.55	 8.90162	0.0476488	0.535282
    2.58	 8.67857	0.0477385	0.550073
    2.61	 8.46479	0.0476194	0.562558
    2.64	 8.26224	0.0474308	0.574067
    2.67	 8.06931	0.0474007	0.587419
     2.7	 7.88021	0.0472802	0.599987
    2.73	 7.69792	0.0469616	0.610056
    2.76	 7.51951	0.0470068	0.625131
    2.79	 7.34674	0.0471152	0.641308
    2.82	 7.18545	0.0468947	0.652635
    2.85	 7.02698	0.0467854	0.665796
    2.88	  6.8719	0.0467641	0.680512
    2.91	 6.72583	0.0467851	0.695603
    2.94	 6.58027	0.0465822	0.707907
    2.97	 6.44138	0.0465209	 0.72222
       3	  6.2995	0.0464592	0.737505
